NumThreads,Run,ExecTimeSecs
1,0,467.302
1,1,464.967
1,2,465.363
1,3,466.04
1,4,477.056
2,0,232.556
2,1,240.458
2,2,249.738
2,3,238.388
2,4,232.342
3,0,166.951
3,1,160.208
3,2,160.227
3,3,160.396
3,4,160.345
4,0,120.886
4,1,118.926
4,2,124.828
4,3,118.896
4,4,118.426
5,0,154.862
5,1,153.478
5,2,154.009
5,3,153.693
5,4,153.539
6,0,134.75
6,1,134.432
6,2,135.319
6,3,134.067
6,4,135.806
7,0,144.396
7,1,144.158
7,2,143.875
7,3,143.864
7,4,145.247
8,0,152.74
8,1,152.629
8,2,152.565
8,3,152.552
8,4,152.733
